VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2.0,2021-01-08 14:06:10,2021-01-08 14:23:22,N,1.0,74,244,1.0,3.05,14.0,0.0,0.5,0.0,0.0,,0.3,14.8,2.0,1.0,0.0
2.0,2021-01-23 10:00:34,2021-01-23 10:19:55,N,1.0,7,179,1.0,1.9,13.0,0.0,0.5,0.0,0.0,,0.3,13.8,2.0,1.0,0.0
1.0,2021-01-26 09:15:47,2021-01-26 09:28:06,N,1.0,198,160,1.0,0.0,12.2,0.0,0.5,0.0,0.0,,0.3,13.0,1.0,1.0,0.0
2.0,2021-01-22 13:27:02,2021-01-22 13:31:00,N,1.0,75,236,1.0,0.6,4.5,0.0,0.5,1.61,0.0,,0.3,9.66,1.0,1.0,2.75
2.0,2021-01-28 15:04:28,2021-01-28 15:14:37,N,1.0,95,258,1.0,2.26,9.5,0.0,0.5,0.0,0.0,,0.3,10.3,2.0,1.0,0.0
2.0,2021-01-28 14:15:33,2021-01-28 14:43:15,N,1.0,75,142,1.0,3.72,19.5,0.0,0.5,0.0,0.0,,0.3,23.05,2.0,1.0,2.75
2.0,2021-01-09 10:22:53,2021-01-09 10:27:47,N,1.0,236,236,1.0,1.03,6.0,0.0,0.5,1.91,0.0,,0.3,11.46,1.0,1.0,2.75
2.0,2021-01-08 23:37:05,2021-01-08 23:44:47,N,1.0,42,41,1.0,1.03,7.0,0.5,0.5,1.66,0.0,,0.3,9.96,1.0,1.0,0.0
2.0,2021-01-15 10:54:16,2021-01-15 10:56:10,N,1.0,33,52,1.0,0.26,3.5,0.0,0.5,0.0,0.0,,0.3,4.3,2.0,1.0,0.0
2.0,2021-01-09 19:20:55,2021-01-09 19:26:33,N,1.0,74,42,2.0,1.18,6.0,0.0,0.5,2.04,0.0,,0.3,8.84,1.0,1.0,0.0
2.0,2021-01-02 10:18:54,2021-01-02 10:33:17,N,1.0,74,163,1.0,3.73,13.5,0.0,0.5,4.26,0.0,,0.3,21.31,1.0,1.0,2.75
1.0,2021-01-11 11:43:53,2021-01-11 12:13:39,N,1.0,75,68,1.0,7.5,27.5,2.75,0.5,0.0,0.0,,0.3,31.05,2.0,1.0,2.75
2.0,2021-01-09 16:23:08,2021-01-09 16:29:09,N,1.0,74,75,1.0,1.1,6.0,0.0,0.5,1.7,0.0,,0.3,8.5,1.0,1.0,0.0
2.0,2021-01-15 09:48:35,2021-01-15 09:59:03,N,1.0,74,47,1.0,4.87,15.5,0.0,0.5,0.0,0.0,,0.3,16.3,2.0,1.0,0.0
2.0,2021-01-06 17:31:01,2021-01-06 17:37:28,N,1.0,24,116,2.0,1.7,7.5,1.0,0.5,1.7,0.0,,0.3,11.0,1.0,1.0,0.0
